Нет я не бот | ты точно не бот?
понял | он имел ввиду роль
а вчера объявили что в конце месяце будет дата минта и цена | Поскорее бы
Оого, красавчик🤜🏿🤛🏿 Так держать, но я знаю  что можешь и больше | у меня за сегодня +150
Там роли есть и вот у тебя она тоже есть "paper hands" | покажи группу?
он имел ввиду роль | покажи группу?
Понял | да
ну бумажные руки | А что за отдельная группа Paper Hands?
Скоро 15 поздравляю | 100 до 14
Новенькая) интересен этот проект | ты новенький?
да | Сообщений ?
Поскорее бы | нужно дождаться просто конца месяца и нам откроют цены ахахахаха у них все равно пресейл ещё будет
вполне возможно | Тут кстати походу как и везде раз в минуту регестрируется для опыта сообщение
покажи группу? | А что за отдельная группа Paper Hands?
ты новенький? | С удовольствием)
Ты учиться в каком году уехала? Тогда уже крым был Россией? | Да) родилась там
Сообщений ? | весь день просидеть и будет 1к
Тут кстати походу как и везде раз в минуту регестрируется для опыта сообщение | именно столько вроде
Ну так то да | за час можно +- 120 настрочить
С удовольствием) | легко) тут актив хороший, общайся с нами)
100 до 14 | а какой у тебя уже лвл?
нужно дождаться просто конца месяца и нам откроют цены ахахахаха у них все равно пресейл ещё будет | тоже верно
а какой у тебя уже лвл? | с трудом и потом) но это не сложно если прям зайти в чат с интересами и найти собеседника)
Ну такое надо ещё найти) | с трудом и потом) но это не сложно если прям зайти в чат с интересами и найти собеседника)
именно столько вроде | мне казалось больше
нормально) | 2к сообщений
Я ещё сам до конца не знаю, ты ещё у ребят по спрашивай, по ходу дела поймешь | А что за отдельная группа Paper Hands?
мне казалось больше | 2к сообщений
Да) родилась там | Аа, ну теперь понял. Ты кстати говорила что из Крыма? Или что-то от туда?
Точнее роль | А что за отдельная группа Paper Hands?
с трудом и потом) но это не сложно если прям зайти в чат с интересами и найти собеседника) | Как же дообщаться до 15 лвл
тоже верно | так вот именно но в любом случае ничего не говорили даже приблизительных цен
Привет))) | Привет
легко) тут актив хороший, общайся с нами) | Как же дообщаться до 15 лвл
2к сообщений | Как же дообщаться до 15 лвл
так вот именно но в любом случае ничего не говорили даже приблизительных цен | не факт
у них даже 5ого лвла нет, а вл есть | Кому?)
Привет | Всем привет
Да, сегодня часов в 11 примерно | а они разве были
Привет | Были сегодня в чате, вопросы задавали и за это ништики давали
Кому?) | да как вам так везёт с вл
привеееет! | Всем привет
полностью согласен) | да как вам так везёт с вл
не факт | это все догадки, но если у тос 0.15 ,то тут либо так же либо ниже
Привет, как тебя звать? 😉 | Всем привет
Привет | Всем привет
это все догадки, но если у тос 0.15 ,то тут либо так же либо ниже | все про это значение говорят
привет, давно вл получил? | Всем привет
привет | Всем привет
Привет | Всем привет
Были сегодня в чате, вопросы задавали и за это ништики давали | там разные
да | Спасибо) а общение в любом чате?)
Спасибо) а общение в любом чате?) | Привет))) если хочешь забрать тут вл, то смотри, апаешь 15+ лвл проявляя актив) далее сделай несколько красивых артов и также мемы, потом если вдруг будут идеи для улучшения проекта, то добавь свою идею сюда <#925538021804245032>   в принципе все ))) удачки. Если будут вопроси пиши)
а они разве были | А не подскажешь будут сегодня ещё эстафеты? Как ответы на вопросы ?
там разные | А не подскажешь будут сегодня ещё эстафеты? Как ответы на вопросы ?
не знаю | А не подскажешь будут сегодня ещё эстафеты? Как ответы на вопросы ?
все не все но тем не менее должно быть ниже ,создатели нам даже приблизительных цен не сказали | все про это значение говорят
Пишешь в ранке -message | где ты посмотрел количество сообщений тут?
А не подскажешь будут сегодня ещё эстафеты? Как ответы на вопросы ? | дешевле будет
Привет))) если хочешь забрать тут вл, то смотри, апаешь 15+ лвл проявляя актив) далее сделай несколько красивых артов и также мемы, потом если вдруг будут идеи для улучшения проекта, то добавь свою идею сюда <#925538021804245032>   в принципе все ))) удачки. Если будут вопроси пиши) | Приветики) что тут надо на вл сделать?)
поиск и свой ник | где ты посмотрел количество сообщений тут?
в <#921814205609443362> | где ты посмотрел количество сообщений тут?
Спасибо бро | заценил бро)
все про это значение говорят | дешевле будет
нормально | 0.2-0.5
не плохо | ну я уже почти 45 часов тут а сообщений 3к, притом, что я один из самых активных тут
заценил бро) | https://discord.com/channels/921814203734585344/921814205206765616/941357575281197056 можете тоже арт оценить ❤️
хахах надеюсь 0.2 | 0.2-0.5
все верно | а цена тоже неизвестна я так понимаю
дешевле будет | 0.2-0.5
0.2-0.5 | а цена тоже неизвестна я так понимаю
ага | а цена тоже неизвестна я так понимаю
а цена тоже неизвестна я так понимаю | нет инфы
Аа, ну теперь понял. Ты кстати говорила что из Крыма? Или что-то от туда? | Никто ахаха. Там считается полный курс в 4 года-бакалавром)
нет инфы | а когда минт парни?
Скинешь мне потом | давай, ибо я в другом вл набивать буду
конец февраля вроде | а когда минт парни?
ну я уже почти 45 часов тут а сообщений 3к, притом, что я один из самых активных тут | смогу, иногда на пк переключаться иногда на тл
ytn byas gjrf | а когда минт парни?
Пон | давай, ибо я в другом вл набивать буду
давай, ибо я в другом вл набивать буду | Ну мне тебя надо перегнать где то на 200-300 хп
Да | вааау, сам рисовал?
Готово | https://discord.com/channels/921814203734585344/921814205206765616/941357575281197056 можете тоже арт оценить ❤️
Не плюсую а умножаю | если будет с кем пообщаться то смогу весь день просидеть
я уже вроде все добил, надо только лвл | Я чегодня лвл, завтра инвайты и арты
вааау, сам рисовал? | https://discord.com/channels/921814203734585344/921814205206765616/941357575281197056 можете тоже арт оценить ❤️
Просто реально ты только сегодня тут появился и уже левл набил, хорош! | В принципе да
Я чегодня лвл, завтра инвайты и арты | Да, но могут и раньше 15 дать в теории
Я думаю 10 апну | давай кто быстрее
смогу, иногда на пк переключаться иногда на тл | не сможешь так несколько часов подряд писать
спасибочки | Кинула реакций!
Никто ахаха. Там считается полный курс в 4 года-бакалавром) | А ты если на третьем, то кто ты уже? 😄
Аа, примерно уловил суть, но ещё разберусь в этом всем | как викторина и просто раздача
Кинула реакций! | оцените артик в био кстати!
не сможешь так несколько часов подряд писать | в минуту по два
какой работы? | А что на счёт работы
Да, но могут и раньше 15 дать в теории | Пиздец, ладно, поднажать нужно просто
давай кто быстрее | Я тоже по стараюсь
Спасибо! | Накидала
А что на счёт работы | в минуту по два
Ааа, ну было бы не плохо конечно😅😅😅 | получишь вл раньше 20 уровня, я про это
Пиздец, ладно, поднажать нужно просто | там по 2к экспы
в минуту по два | это сложно, больше 70-80 вряд ли выйдет
Накидала | Раз уж можно сюда ссылку вставлять тогда ребят тоже накидайте реакций пожалуйста. Спасибо https://discordapp.com/channels/921814203734585344/921814205206765616/941627428407746560
харош | я 10 почти апнул)
хмм странно, но ладно | 2-3 день уже вижу
Понял | сеглдня 10-ый будет
Прикольно, спасибо за ответ🤙🏿 | тут проходят почти каждый день <#940782307063787540>
там по 2к экспы | За 20 часов 3 лвла? Мужик я не верю
это сложно, больше 70-80 вряд ли выйдет | за час сообщений 100-150 сообщений отправлять
2-3 день уже вижу | че, ни разу не видел кроме одного дня
сеглдня 10-ый будет | Так у тебя 5 вроде
В принципе да | Да ты вообще красавчик, быстро набиваешь
как викторина и просто раздача | А что за конкурс был, позволь спросить
получишь вл раньше 20 уровня, я про это | Почему я раньше, у тебя ведь больше лвл
За 20 часов 3 лвла? Мужик я не верю | это еще часов 20 где то
че, ни разу не видел кроме одного дня | тут проходят почти каждый день <#940782307063787540>
Так у тебя 5 вроде | ну с 10 на 15 лвл нужно не меньше 4 часов думаю
Да ты вообще красавчик, быстро набиваешь | Стараюсь бро
Тут согласна | Да не, мне впадлу пиздец
тут проходят почти каждый день <#940782307063787540> | А что за конкурс был, позволь спросить
это еще часов 20 где то | Скоро уже 15 будешь, кул будет
ну с 10 на 15 лвл нужно не меньше 4 часов думаю | Ты прям целый день будешь сидеть хд
Да не, мне впадлу пиздец | Переводчик в помощь
Стараюсь бро | поднажми
Почему я раньше, у тебя ведь больше лвл | 12 всего
Скоро уже 15 будешь, кул будет | 12 всего
Переводчик в помощь | Я чуть шарю@за англ, но оень мло
12 всего | А у тебя какой?
поднажми | Ну я по сути за сегодня 4 лвл апнул
А что за конкурс был, позволь спросить | ты конкурс затащил или как?
хахаххахах это да) | На англе все, если вопрос сложный я попросту не пойму его епт
дааа толко тсссс | ты конкурс затащил или как?
На англе все, если вопрос сложный я попросту не пойму его епт | да не, я бы залетел, но был он слишком рано)
А у тебя какой? | Но мне кажется ты раньше 20 получишь вл
ты конкурс затащил или как? | благодарю)
А ты если на третьем, то кто ты уже? 😄 | 1 курс) ну это бакалавр
Но мне кажется ты раньше 20 получишь вл | Ну если прям плотно зависать, то да, но у меня просто много других дел накопилось
Ты прям целый день будешь сидеть хд | а завтра уже 15-ый апну ибо выходной
да не, я бы залетел, но был он слишком рано) | Тогда впадлу
в <#921814205206765612> <#940782307063787540> | А где раздача происходит то?
благодарю) | блин повезло тебе, рад за тебя
блин повезло тебе, рад за тебя | если бы знал поделился бы
А где раздача происходит то? | idk
Тогда впадлу | да по типу квиз, кто быстрее ответит тот и вин)
Ну если прям плотно зависать, то да, но у меня просто много других дел накопилось | еще дня 3
неизвестно ещё | А есть вообще сколько мест на ВЛ выделено?
1 курс) ну это бакалавр | А сколько курсов вообще тебе учиться?
да по типу квиз, кто быстрее ответит тот и вин) | Че за контест
если бы знал поделился бы | а как ты так просто получил вл?
Все будет, не опускай руки | да не верится честно говоря
нет | А есть вообще сколько мест на ВЛ выделено?
да не верится честно говоря | И тебе выдадут обязательно
idk | А есть вообще сколько мест на ВЛ выделено?
это неделю назад было! сейчас можно на раздаче получить без всяких жостижений | Ну я видел тут типы некоторые и на 10 получили
а как ты так просто получил вл? | если бы много писал то был бы большой лвл а у меня 3
в фирме маркетологом | Где работаешь?
И тебе выдадут обязательно | я тут пашу а другим вот так выдают
А есть вообще сколько мест на ВЛ выделено? | ну это раньше было, щас оч сложно, мб через какие-то твиты в твитере или конкурсы
Че за контест | да и на 3 получали когда контест в 8 утра был)
А сколько курсов вообще тебе учиться? | Старикашка)) ахпха
еще дня 3 | Ну для кого как, я то метюсь на 20+, а это очень много труда я бы сказвл
да | 3 лвл?
Ну для кого как, я то метюсь на 20+, а это очень много труда я бы сказвл | уже большой в целом
Старикашка)) ахпха | Ну по старше будешь, тебе то 20 уже, старушка почти)))😁😁😁
3 лвл? | если бы много писал то был бы большой лвл а у меня 3
ну это раньше было, щас оч сложно, мб через какие-то твиты в твитере или конкурсы | Ну я видел тут типы некоторые и на 10 получили
вчера вроде бы днем апнул, не помню | ты же недавно ток 15 вроде апнул?)
ашалеть за что тогда я не понимаю | если бы много писал то был бы большой лвл а у меня 3
даа | как думаете за сегодня смогу с 5-го апнуть 10-ый?
Я тут была ночью) в мейне сидела просто | Да ты пропала епты куда-то ушла работать нахуй в суши бар ебучий
если бы много писал то был бы большой лвл а у меня 3 | много писал чтоле
ты же недавно ток 15 вроде апнул?) | 90хп до 18ого лвла
стараюсь очень активно | жоский ты
Ну по старше будешь, тебе то 20 уже, старушка почти)))😁😁😁 | А я уже все?) старая?😂😂
Ну я видел тут типы некоторые и на 10 получили | очень плотно, еще никогда так не сидел)
Где работаешь? | та ничего у меня тоже все супер еду на работу
Да ты пропала епты куда-то ушла работать нахуй в суши бар ебучий | Чо это мне умирать? Ахаха
жоский ты | 90хп до 18ого лвла
уже большой в целом | Пока что 10, но сейчас стараюсь ещё поднять
та ничего у меня тоже все супер еду на работу | да все супер. ты как? что нового?
много писал чтоле | ну просто так не знаю
очень плотно, еще никогда так не сидел) | ты прям плотно тут сидел или на лайте?
Пока что 10, но сейчас стараюсь ещё поднять | а у тебя уже какой лвл?
Но я по сердцу какой-то калеченный , так что хз | Армия держит реально😂😂😂 ради отсрочки многие идут в вуз
А я уже все?) старая?😂😂 | Ну тебе и лет по больше, я то ещё молодой, мне 18
мне почти столько же ток 17 | ну мне 16 дальше больше
ты прям плотно тут сидел или на лайте? | 4 дня
сам | ты им тикет отправлял и после этого цвет ника сменился или сам по себе?
ну просто так не знаю | за что у тебя же даже нет 5 лвл
Чо это мне умирать? Ахаха | Я думкл ты умерла
ты им тикет отправлял и после этого цвет ника сменился или сам по себе? | 300 баксов🥲
да все супер. ты как? что нового? | как ты
за что у тебя же даже нет 5 лвл | не дали
4 дня | Сколько времени потратил?
Я думкл ты умерла | Это хорошо! Какие планы на день?
Армия держит реально😂😂😂 ради отсрочки многие идут в вуз | Я бы бросил с радостью, если бы не армуха
ну мне 16 дальше больше | тоже не плохо, лучше чем ничего
не дали | ты выйграл вл да?
Это хорошо! Какие планы на день? | топчик
как ты | привет
ты выйграл вл да? | дорооов
Сколько времени потратил? | 17
привет | дорооов
топчик | Все хорошо, у тебя как дела?
тоже не плохо, лучше чем ничего | 300 баксов🥲
а у тебя уже какой лвл? | Аа, ну тогда ок
Ну тебе и лет по больше, я то ещё молодой, мне 18 | Уууу. Я 3…
Все хорошо, у тебя как дела? | как дела у вас
17 | А на каком лвл тебе ВЛ дали ?
А на каком лвл тебе ВЛ дали ? | https://discord.com/channels/921814203734585344/921814205206765616/941346094187692042
Я бы бросил с радостью, если бы не армуха | Спасибо дружище, главное ещё закончить этот универ,😅😄
300 баксов🥲 | какой банк
Аа, ну тогда ок | забанят за это
Уууу. Я 3… | 1 курс пока что😅
1 курс пока что😅 | Ахпха. А какой курс?)
какой банк | а у меня все бабки в нфт поэтому так пока что двигаюсь
Ахпха. А какой курс?) | Спасибо дружище, главное ещё закончить этот универ,😅😄
Ну не знаю, типы как-то присылали, может они знают как | Так нельзя делать
а у меня все бабки в нфт поэтому так пока что двигаюсь | я просто в нескольких участвую сразу, не знаю в которых стоит минтить в которых нет
все супер, где был? | как дела боаче?
Спасибо дружище, главное ещё закончить этот универ,😅😄 | Ого,достойно!
я просто в нескольких участвую сразу, не знаю в которых стоит минтить в которых нет | ааа
можно | Так нельзя делать
забанят за это | Кидай сюда ссылку, другие тоже перейдут оценят
Из Армавира бро) | о, а ты откуда
ну до это неплохое преимущество | Ддааа, это преимущество направления, в нем много профессий
ааа | так я поставил плюс типу не меньше
Так нельзя делать | Кидай сюда ссылку, другие тоже перейдут оценят
так я поставил плюс типу не меньше | это мало же
Маркетинг в наше время это все! Тебе самой нравится? | На маркетолога) а ты?
+ | мне бы получить сначала
Ого,достойно! | Я учусь на направлении, строительство. Буду потом и геодезом и инженером и прорабом...
это мало же | +200
+200 | за скок будешь
Ддааа, это преимущество направления, в нем много профессий | неплохой список профессий
за скок будешь | д
там по учебе, все отлично | Да сойдёт, а у тебя? Что смотришь?
Кидай сюда ссылку, другие тоже перейдут оценят | Оцените арт пожалуйста в профиле ссылка
емае, кто это? ща чекну | Овсянкина ща слушаю и мерда киллу. Чекни альбик овсянкина профанация
неплохой список профессий | Я учусь на направлении, строительство. Буду потом и геодезом и инженером и прорабом...
д | пацаны честно вл продавать будете?
Да сойдёт, а у тебя? Что смотришь? | Ютуб смотрю и в чат пишу, как дела?
Я учусь на направлении, строительство. Буду потом и геодезом и инженером и прорабом... | На маркетолога) а ты?
о, а ты откуда | Я в перерывах, по несколько часов залетаю, настроение огонь, завтра на борде кататься поеду)))
Ютуб смотрю и в чат пишу, как дела? | Кофе пью сижу, а ты?
Кофе пью сижу, а ты? | Кто что делает,
красавчик | Я в перерывах, по несколько часов залетаю, настроение огонь, завтра на борде кататься поеду)))
Овсянкина ща слушаю и мерда киллу. Чекни альбик овсянкина профанация | пацаны и девушки, че по музыке, че слушаете?
Я в перерывах, по несколько часов залетаю, настроение огонь, завтра на борде кататься поеду))) | да отлично все) с самого утра в чатике)
На маркетолога) а ты? | А на кого учишься?
Спасибо ) | приятного
вполне возможно | Я тикеты открывал, отправлял им подозрительные акки и вот, возможно это дало буста
приятного | Я щас покушаю
±350 был недавно | когда уровень пробиваешь то какой у тебя ранг?
Я щас покушаю | ща тож 5-ый будет
А на кого учишься? | Да) я во Львове учусь, но сама крымчанка. А ты?
Я уже сделал, можешь оценить если не сложно)) Ссылка у меня в описании есть | Не факт, но попробуй
Я в Армавире вырос и родился, учусь в универе тоже тут, не город а сказка просто🤩 | Да) я во Львове учусь, но сама крымчанка. А ты?
Норм | ща тож 5-ый будет
ща тож 5-ый будет | Я вчера не сидел
скарее всего | Я тикеты открывал, отправлял им подозрительные акки и вот, возможно это дало буста
сегодня синим буду 💪🏼😬 | так жалко синих чуваков, таким же вчера был, это такой ад
Почемк жалко? Сидят и ничего не получают? | так жалко синих чуваков, таким же вчера был, это такой ад
Я тикеты открывал, отправлял им подозрительные акки и вот, возможно это дало буста | наверное, тебе повезло в раздаче ещё, и я рад за тебя
Да | почему только 4 лвл, ты вчера почти не сидел?
скоро 18 | а у тебя какой лвл?0
когда уровень пробиваешь то какой у тебя ранг? | наверное, тебе повезло в раздаче ещё, и я рад за тебя
Я думаю что особого толка не будет в этом | Если сервак забустить будет толк от этого ?
Да) я во Львове учусь, но сама крымчанка. А ты? | Я Пашок, мне 18, я из Армавира ))) ты учишься где-то?
да отлично все) с самого утра в чатике) | Я нормально, сижу вот себе лвл качаю😅😂 как настроение у тебя?
Не факт, но попробуй | А могут дать вл за качественный анимированный арт?
почему только 4 лвл, ты вчера почти не сидел? | Та мне чёт так плохо тошнит и голова болит
а у тебя какой лвл?0 | внезапно
очень надеюсь на это, но боюсь из-за черепашки, она мне 30 раз писала уже | Ты скоро тоже получишь, тут более менее какая то очередь существует
А могут дать вл за качественный анимированный арт? | Ты скоро тоже получишь, тут более менее какая то очередь существует
По большей части рандом | Ты скоро тоже получишь, тут более менее какая то очередь существует
Я нормально, сижу вот себе лвл качаю😅😂 как настроение у тебя? | хоршо, ты как
Ты скоро тоже получишь, тут более менее какая то очередь существует | наверное, тебе повезло в раздаче ещё, и я рад за тебя
пока анонсов не было | Сегодня как вчера еще раздадут?
Я Пашок, мне 18, я из Армавира ))) ты учишься где-то? | Меня зовут Вика, мне 20. Из Львова. А ты что расскажешь?
внезапно | тебе внезапно выдали вл или ты в тикет писал
Та мне чёт так плохо тошнит и голова болит | не я пришел минут 15 назад
он в розыгрыше выиграл | тебе внезапно выдали вл или ты в тикет писал
хз | Сегодня как вчера еще раздадут?
тебе внезапно выдали вл или ты в тикет писал | много кому тоже дали, хз как эта тема работает ведь фаундер говорил что на сегодня всего еще раздадим 5 вл)
Сегодня как вчера еще раздадут? | много кому тоже дали, хз как эта тема работает ведь фаундер говорил что на сегодня всего еще раздадим 5 вл)
наверное, тебе повезло в раздаче ещё, и я рад за тебя | Жесть мужик, ну ты машина, я немного распределял, но тоже. Целый день сидел, наверное я просто больше спал
Да норм они будут еще раздавать | много кому тоже дали, хз как эта тема работает ведь фаундер говорил что на сегодня всего еще раздадим 5 вл)
не я пришел минут 15 назад | А ты ещё в шк ?
апну 15 и пойду туда | Некоторые не сидели в генерали и получили тут, остальнве получили в генерале , нужно чтобы тебя заметили брачо
Давай добивай, ещё немного и цвет ника поменяется | Я щас добью 5
А ты ещё в шк ? | в шк иди реще
много кому тоже дали, хз как эта тема работает ведь фаундер говорил что на сегодня всего еще раздадим 5 вл) | Хорош мужчина, красава
Меня зовут Вика, мне 20. Из Львова. А ты что расскажешь? | Аа, понял, ну добро пожаловать тогда)))😅 Расскажи о себе как зовут?
хоршо, ты как | Здоровья тебе друг мой, как ты?
Некоторые не сидели в генерали и получили тут, остальнве получили в генерале , нужно чтобы тебя заметили брачо | в генерале тоже нужно сидеть?
в шк иди реще | Я щас добью 5
Спасибо за инфу)))🤝😎 | Как можно узнать из новостей мы празднуем 50 тыcяч членов нашей семьи! 🎉 Каждый день до пятницы включительно, будет разыгрываться по 30 ВЛ! <#925537325545586768>  Поздравляю вас! 🚀 Будьте активны в <#921814205206765612>, приглашайте  друзей и помогайте новеньким!
Хорош мужчина, красава | дето в 23 по мск
Здоровья тебе друг мой, как ты? | бенькс бенькус
в генерале тоже нужно сидеть? | Лвл набить проще здесь, потом идти в генерал и писать там
дето в 23 по мск | Шо когда успел пинк ник взять?
Лвл набить проще здесь, потом идти в генерал и писать там | пацаны а зачем мы тут пишем они же тут точно не заметят
этого мы незнаем никто)) ни каркай братан 😅 | скорее всего только завтра вл получу
Грамотно выразился👌🏿 | Учись, другого не дано
нет) | А в чем идея заключается какой нибудь пример есть?
Шо когда успел пинк ник взять? | я
Я вообще уникальную анимацию сделал. Потратил более 6 часов на перерисовывание логотипа и анимацию. Можешь посмотреть в моем описании | Для меня мем сложнее сделать чем арт
нарисуй на листке или через прогу на телефоне эффектов накидать | А вот Арты не знаю что с ними делать
А в чем идея заключается какой нибудь пример есть? | хз, навряд ли, они мне ни разу не помогли)
я | А ты делал или заказал ?
Учись, другого не дано | Не умею (
)) | 😎😎😎 станок просто, красавец ✊🏿
А ты делал или заказал ? | закажи у кого-то)
Дерьмом салон кожаный залить | хаххаха страшное дело)
скорее всего только завтра вл получу | оба может получим, я скоро синий буду к вечеру точно, как у тебя?
Будь аккуратнее с такими делами | Да суть в том что у мя диарея начаась что я чуть на месте жидкого не дал, я очко сжимал чтобы не жижануть в такси
Я думаю смотрят, просто представь как их много и все они примерно на одинаковом уровне сделаны | да они вообще не смотрят арты мне кажется
Не умею ( | Рисовать
закажи у кого-то) | А вот Арты не знаю что с ними делать
хаххаха страшное дело) | Да суть в том что у мя диарея начаась что я чуть на месте жидкого не дал, я очко сжимал чтобы не жижануть в такси
Рисовать | А вот Арты не знаю что с ними делать
я не знаю у меня половина 12 только еще | оба может получим, я скоро синий буду к вечеру точно, как у тебя?
А вот Арты не знаю что с ними делать | арты желательно тож надо
хз, навряд ли, они мне ни разу не помогли) | Мемы есть смысл делать?
Да суть в том что у мя диарея начаась что я чуть на месте жидкого не дал, я очко сжимал чтобы не жижануть в такси | ого, а у меня траблы короче когда нерничаю, то живот болит пиздец как
Ооо, как ты, опять мы пересеклись😅 | Рэйдж
оба может получим, я скоро синий буду к вечеру точно, как у тебя? | надеюсь сегодня получишь вл
арты желательно тож надо | Я  выложил 3 мема про крипту
Норм | рублей 50 потратил
😎😎😎 станок просто, красавец ✊🏿 | у меня уже 20 кста
рублей 50 потратил | Понимаю
Я  выложил 3 мема про крипту | у меня уже 20 кста
хм а это идея | знаю, но уже не то время, либо нужно 20 артов за день бахнуть
ого, а у меня траблы короче когда нерничаю, то живот болит пиздец как | Главное чтобы кишечник не подкосило. Я так с контрольной по теории упругости домой уехал на такси
совокупность | тут по артам больше рассматривают для вл или уровням?
знаю, но уже не то время, либо нужно 20 артов за день бахнуть | они не синим тоже дают очень много
Конечно мужик, оно того стоит, по опыту говорю | Стоит ли сидеть целый день в дс ?
Я тоже так думаю, ибо еще и мемберов больше становится | мне кажется нужно минимум стать синим
у меня уже 20 кста | Вот с инвайтами хз что делать
я уже тоже такого мнения, сегодня через часиков 5 апну, думаю дадут | мне кажется нужно минимум стать синим
Главное чтобы кишечник не подкосило. Я так с контрольной по теории упругости домой уехал на такси | цель оправдывает средства, но уже ручки подкашиваются
Вот с инвайтами хз что делать | лвл апать и инвайты
Аа, понял, ну добро пожаловать тогда)))😅 Расскажи о себе как зовут? | Да я только зашла)
конечно | Стоит ли сидеть целый день в дс ?
они не синим тоже дают очень много | мне кажется нужно минимум стать синим
цель оправдывает средства, но уже ручки подкашиваются | Все будет, но не сразу
конечно | Стоит ли сидеть целый день в дс ?
Стоит ли сидеть целый день в дс ? | +
Все будет, но не сразу | да тут чел 5 минимум и чата имнно сейчас заслуживают
Заметят ещё! | ну просто да они как будто даже не замечают меня
матан укр био и англ | Что сдавать собрался?
В любое | в какое время лучше всего активничать пацаны
да тут чел 5 минимум и чата имнно сейчас заслуживают | Мне тоже мужик стоит дать вл, я заслужил
Что сдавать собрался? | +
А я говорил что получишь ты все) | Я тоже хотел, но вот получил, теперь еще желания появились, по мере исполнения целей добавляются новые
+ | Ты в 11?
Мне тоже мужик стоит дать вл, я заслужил | выдать ему вл СРОЧНО!!!
Сообщений мало еще | 3 арта 2 идеи 3 мотивации 9 лвл 15 инвайтов 600 сообщений
Он мой однакл) | Ты в 11?
Я тоже хотел, но вот получил, теперь еще желания появились, по мере исполнения целей добавляются новые | Хочу вл епт в медведях
3 арта 2 идеи 3 мотивации 9 лвл 15 инвайтов 600 сообщений | а ты заслужил?
ибо сказали | Зачем он тебе
Сейчас сделаю) | Да ставь и имя правильно дополнила! Профиль можно как у меня заполнять по мере активностей
выдать ему вл СРОЧНО!!! | 3 арта 2 идеи 3 мотивации 9 лвл 15 инвайтов 600 сообщений
